"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"1","Aaron Connolly","FWD","Brighton",0.5,0,0,-3,0,0.3,78,7,2,0,3.4,1.2,"2020-09-14T19:15:00Z",45,5,0,0,0,0,1,0,32205,3,1,32,1,0,0,0,55,"True",0,1
"2","Aaron Cresswell","DEF","West Ham",2.1,0,0,11,0,11.2,435,6,2,0,2.2,10.4,"2020-09-12T19:00:00Z",90,14,0,0,0,0,1,0,70232,2,0,0,1,0,0,0,50,"True",0,1
"3","Aaron Mooy","MID","Brighton",0,0,0,0,0,0,60,7,0,0,0,0,"2020-09-14T19:15:00Z",0,5,0,0,0,0,1,0,2010,3,1,0,0,0,0,0,50,"True",0,1
"5","Abdoulaye Doucouré","MID","Everton",1.3,0,0,20,1,44.6,512,4,0,0,6.9,20.4,"2020-09-13T15:30:00Z",90,17,0,0,0,0,1,0,143040,1,0,4,3,0,0,0,55,"False",0,1
"6","Aboubakar Kamara","MID","Fulham",0.4,0,0,-2,0,1.8,190,2,3,0,0.2,0,"2020-09-12T11:30:00Z",62,1,0,0,0,0,1,0,6711,3,0,5,2,0,0,0,50,"True",0,1
"7","Adama Traoré","MID","Wolves",2.2,0,0,6,1,1.8,465,8,0,0,3.2,12.8,"2020-09-14T17:00:00Z",90,15,0,0,0,0,1,0,1189095,2,0,17,3,0,0,0,65,"False",0,1
"8","Adam Forshaw","MID","Leeds",0,0,0,0,0,0,199,3,0,0,0,0,"2020-09-12T16:30:00Z",0,11,0,0,0,0,1,0,2009,3,4,0,0,0,0,0,50,"False",0,1
"9","Adam Lallana","MID","Brighton",1.2,0,0,6,0,27.2,54,7,1,0,3.6,6.8,"2020-09-14T19:15:00Z",44,5,0,0,0,0,1,0,78657,3,1,2,1,0,0,0,65,"True",0,1
"10","Adam Webster","DEF","Brighton",0.6,0,0,14,0,11.8,66,7,3,0,2.8,14.8,"2020-09-14T19:15:00Z",90,5,0,0,0,0,1,0,187445,3,1,1,1,0,0,0,45,"True",0,1
"11","Adrien Silva","MID","Leicester",2,0,0,0,0,0,220,5,0,0,0,0,"2020-09-13T13:00:00Z",0,18,0,0,0,0,1,0,39204,3,0,0,0,0,0,0,45,"False",0,1
"13","Ahmed El-Sayed Hegazy","DEF","West Brom",0.6,0,0,0,0,0,414,5,0,0,0,0,"2020-09-13T13:00:00Z",0,9,0,0,0,0,1,0,74895,3,0,0,0,0,0,0,45,"True",0,1
"15","Albian Ajeti","FWD","West Ham",0,0,0,0,0,0,447,6,0,0,0,0,"2020-09-12T19:00:00Z",0,14,0,0,0,0,1,0,409,2,0,0,0,0,0,0,55,"True",0,1
"16","Aleksandar Mitrović","FWD","Fulham",0.8,0,0,3,0,0.3,184,2,0,0,1,3,"2020-09-12T11:30:00Z",27,1,0,0,0,0,1,0,1435176,3,0,7,1,0,0,0,60,"True",0,1
"18","Alexis Mac Allister","MID","Brighton",0.8,0,0,0,0,0,80,7,0,0,0,0,"2020-09-14T19:15:00Z",0,5,0,0,0,0,1,0,3939,3,1,0,0,0,0,0,55,"True",0,1
"19","Alex Iwobi","MID","Everton",1.6,0,0,0,0,0,159,4,0,0,0,0,"2020-09-13T15:30:00Z",0,17,0,0,0,0,1,0,10789,1,0,0,0,0,0,0,60,"False",0,1
"22","Alfie Mawson","DEF","Fulham",0,0,0,0,0,0,185,2,0,0,0,0,"2020-09-12T11:30:00Z",0,1,0,0,0,0,1,0,1789,3,0,0,0,0,0,0,45,"True",0,1
"23","Alireza Jahanbakhsh","MID","Brighton",0.8,0,0,3,0,0.7,71,7,0,0,0.5,4.4,"2020-09-14T19:15:00Z",11,5,0,0,0,0,1,0,3104,3,1,0,1,0,0,0,55,"True",0,1
"25","Allan Marques Loureiro","MID","Everton",1.3,0,0,16,1,3.4,502,4,0,0,2.1,18,"2020-09-13T15:30:00Z",90,17,0,0,0,0,1,0,75335,1,0,0,3,0,0,0,55,"False",0,1
"26","Allan Saint-Maximin","MID","Newcastle",1.8,0,0,7,1,2.8,338,6,0,0,1.2,3.8,"2020-09-12T19:00:00Z",74,19,0,0,0,0,1,0,1361562,2,0,5,3,0,0,0,55,"False",0,1
"27","Alphonse Areola","GK","Fulham",0.8,0,0,0,0,0,516,2,0,0,0,0,"2020-09-12T11:30:00Z",0,1,0,0,0,0,1,0,71203,3,0,0,0,0,0,0,45,"True",0,1
"28","Andreas Christensen","DEF","Chelsea",3.1,0,0,14,0,0.7,116,7,1,0,2.1,17.8,"2020-09-14T19:15:00Z",90,3,0,0,0,0,1,0,17362,3,1,2,2,0,0,0,50,"False",0,1
"30","Andriy Yarmolenko","MID","West Ham",2.1,0,0,-1,0,1.6,436,6,1,0,3,2.8,"2020-09-12T19:00:00Z",23,14,0,0,0,0,1,0,14140,2,0,26,0,0,0,0,60,"True",1,1
"31","Andros Townsend","MID","Crystal Palace",2.1,1,2,26,1,33.7,137,1,0,0,6.4,28.4,"2020-09-12T14:00:00Z",90,16,0,0,0,0,1,0,16534,0,1,2,8,0,0,0,60,"True",0,1
"32","André Filipe Tavares Gomes","MID","Everton",1.3,0,0,11,1,3.3,158,4,0,0,2.7,3.8,"2020-09-13T15:30:00Z",67,17,0,0,0,0,1,0,21001,1,0,20,3,0,0,0,55,"False",0,1
"33","André-Frank Zambo Anguissa","MID","Fulham",0,0,0,4,0,11.8,191,2,0,0,2.6,14.4,"2020-09-12T11:30:00Z",27,1,0,0,0,0,1,0,50068,3,0,0,1,0,0,0,45,"True",0,1
"34","Andy Carroll","FWD","Newcastle",1.5,0,0,3,1,14,320,6,0,0,6.9,7,"2020-09-12T19:00:00Z",87,19,0,0,0,0,1,0,21822,2,0,48,2,0,0,0,55,"False",0,1
"35","Angelo Ogbonna","DEF","West Ham",2.1,0,0,14,0,1.1,432,6,2,0,3.7,30,"2020-09-12T19:00:00Z",90,14,0,0,0,0,1,0,25125,2,0,6,1,0,0,0,50,"True",0,1
"37","Anthony Gordon","MID","Everton",0.5,0,0,0,0,0,168,4,0,0,0,0,"2020-09-13T15:30:00Z",0,17,0,0,0,0,1,0,49378,1,0,0,0,0,0,0,45,"False",0,1
"38","Anthony Knockaert","MID","Fulham",0.8,0,0,0,0,0,177,2,0,0,0,0,"2020-09-12T11:30:00Z",0,1,0,0,0,0,1,0,12640,3,0,0,0,0,0,0,55,"True",0,1
"39","Antonee Robinson","DEF","Fulham",0.6,0,0,0,0,0,484,2,0,0,0,0,"2020-09-12T11:30:00Z",0,1,0,0,0,0,1,0,7957,3,0,0,0,0,0,0,45,"True",0,1
"40","Antonio Rüdiger","DEF","Chelsea",3.1,0,0,0,0,0,109,7,0,0,0,0,"2020-09-14T19:15:00Z",0,3,0,0,0,0,1,0,133067,3,1,0,0,0,0,0,50,"False",0,1
"41","Arthur Masuaku","DEF","West Ham",1.6,0,0,0,0,0,442,6,0,0,0,0,"2020-09-12T19:00:00Z",0,14,0,0,0,0,1,0,15272,2,0,0,0,0,0,0,45,"True",0,1
"42","Ayoze Pérez","MID","Leicester",3.2,0,0,5,1,2.5,229,5,0,0,2.7,0,"2020-09-13T13:00:00Z",66,18,0,0,0,0,1,0,215629,3,0,24,3,0,0,0,65,"False",0,1
"43","Bamidele Alli","MID","Spurs",3.2,0,0,3,0,11.9,394,4,0,0,4.1,8.4,"2020-09-13T15:30:00Z",45,7,0,0,0,0,1,0,237638,1,0,21,1,0,0,0,80,"True",0,1
"44","Barry Douglas","DEF","Leeds",-0.5,0,0,0,0,0,196,3,0,0,0,0,"2020-09-12T16:30:00Z",0,11,0,0,0,0,1,0,920095,3,4,0,0,0,0,0,40,"False",0,1
"45","Benjamin Chilwell","DEF","Chelsea",0,0,0,0,0,0,232,7,0,0,0,0,"2020-09-14T19:15:00Z",0,3,0,0,0,0,1,0,72270,3,1,0,0,0,0,0,55,"False",0,1
"46","Ben Davies","DEF","Spurs",2.6,0,0,15,0,35.5,395,4,1,0,9.2,20.2,"2020-09-13T15:30:00Z",90,7,0,0,0,0,1,0,155868,1,0,36,2,0,0,0,50,"True",0,1
"47","Ben Johnson","DEF","West Ham",1,0,0,0,0,0,452,6,0,0,0,0,"2020-09-12T19:00:00Z",0,14,0,0,0,0,1,0,161367,2,0,0,0,0,0,0,40,"True",0,1
"49","Ben White","DEF","Brighton",0.6,0,0,16,0,0.8,74,7,3,0,1.5,14.2,"2020-09-14T19:15:00Z",78,5,0,0,0,0,1,0,103827,3,1,0,1,0,0,0,45,"True",0,1
"50","Bernardo Fernandes da Silva Junior","DEF","Brighton",0,0,0,0,0,0,75,7,0,0,0,0,"2020-09-14T19:15:00Z",0,5,0,0,0,0,1,0,824870,3,1,0,0,0,0,0,40,"True",0,1
"51","Bernard Anício Caldeira Duarte","MID","Everton",1.6,0,0,0,0,0,154,4,0,0,0,0,"2020-09-13T15:30:00Z",0,17,0,0,0,0,1,0,10689,1,0,0,0,0,0,0,60,"False",0,1
"53","Billy Gilmour","MID","Chelsea",0,0,0,0,0,0,124,7,0,0,0,0,"2020-09-14T19:15:00Z",0,3,0,0,0,0,1,0,10890,3,1,0,0,0,0,0,45,"False",0,1
"55","Bobby Decordova-Reid","FWD","Fulham",0.5,0,0,4,0,0.4,181,2,0,0,0.2,0,"2020-09-12T11:30:00Z",15,1,0,0,0,0,1,0,8412,3,0,2,1,0,0,0,55,"True",0,1
"56","Brandon Pierrick","MID","Crystal Palace",1,0,0,0,0,0,147,1,0,0,0,0,"2020-09-12T14:00:00Z",0,16,0,0,0,0,1,0,6682,0,1,0,0,0,0,0,45,"True",0,1
