"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"17905","John Stones","DEF","Man City",5.2,0,1,28,1,14.6,252,285,0,0,4.2,19.4,"2022-03-14T20:00:00Z",90,7,0,0,0,0,29,0,255854,0,0,8,7,12068,15224,3156,52,"False",0,29
"17906","Viljami Sinisalo","GK","Aston Villa",-0.5,0,0,0,0,0,596,290,0,0,0,0,"2022-03-13T14:00:00Z",0,19,0,0,0,0,29,0,6338,1,2,0,0,43,217,174,40,"False",0,29
"17907","Pedro Lomba Neto","MID","Wolves",1.5,0,0,0,0,0,441,286,0,0,0,0,"2022-03-13T14:00:00Z",0,8,0,0,0,0,29,0,7262,1,0,0,0,-896,1329,2225,64,"False",0,29
"17908","Danny Ings","FWD","Aston Villa",4.7,0,0,8,1,13.4,337,290,0,0,4.3,6.2,"2022-03-13T14:00:00Z",68,19,0,0,0,0,29,0,702864,1,2,23,2,27149,37769,10620,77,"False",0,29
"17909","Emerson Aparecido Leite de Souza Junior","DEF","Spurs",3.9,0,0,0,0,0,588,288,0,0,0,0,"2022-03-12T17:30:00Z",0,13,0,0,0,0,29,0,98446,2,3,0,0,-20273,3239,23512,47,"False",0,29
"17910","Emerson Aparecido Leite de Souza Junior","DEF","Spurs",3.9,0,0,4,0,12.3,588,153,0,0,1.6,4,"2022-03-16T19:30:00Z",10,4,0,0,0,0,29,0,98446,2,0,0,1,-20273,3239,23512,47,"False",0,29
"17913","Gabriel Fernando de Jesus","FWD","Man City",1.2,0,0,0,0,0,263,285,0,0,0,0,"2022-03-14T20:00:00Z",0,7,0,0,0,0,29,0,419472,0,0,0,0,-4663,3291,7954,84,"False",0,29
"17917","Taylor Richards","MID","Brighton",0,0,0,0,0,0,537,283,0,0,0,0,"2022-03-12T12:30:00Z",0,11,0,0,0,0,29,0,2289,2,0,0,0,-23,0,23,45,"True",0,29
"17918","Taylor Richards","MID","Brighton",0,0,0,0,0,0,537,153,0,0,0,0,"2022-03-16T19:30:00Z",0,17,0,0,0,0,29,0,2289,2,0,0,0,-23,0,23,45,"True",0,29
"17919","Andy Lonergan","GK","Everton",-0.5,0,0,0,0,0,571,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,4895,1,0,0,0,-45,53,98,40,"True",0,29
"17920","Andy Lonergan","GK","Everton",-0.5,0,0,0,0,0,571,195,0,0,0,0,"2022-03-17T19:45:00Z",0,14,0,0,0,0,29,0,4895,0,1,0,0,-45,53,98,40,"True",0,29
"17921","Florin Andone","FWD","Brighton",0,0,0,0,0,0,500,283,0,0,0,0,"2022-03-12T12:30:00Z",0,11,0,0,0,0,29,0,4114,2,0,0,0,-14,0,14,50,"True",0,29
"17922","Florin Andone","FWD","Brighton",0,0,0,0,0,0,500,153,0,0,0,0,"2022-03-16T19:30:00Z",0,17,0,0,0,0,29,0,4114,2,0,0,0,-14,0,14,50,"True",0,29
"17923","Dominic Calvert-Lewin","FWD","Everton",2.3,0,0,0,0,0,177,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,296952,1,0,0,0,13982,24474,10492,77,"True",0,29
"17924","Dominic Calvert-Lewin","FWD","Everton",2.3,1,0,16,0,11.6,177,195,0,0,3,18.2,"2022-03-17T19:45:00Z",14,14,0,0,0,0,29,0,296952,0,1,0,4,13982,24474,10492,77,"True",0,29
"17925","Kasey McAteer","MID","Leicester",0,0,0,0,0,0,647,281,0,0,0,0,"2022-03-13T16:30:00Z",0,1,0,0,0,0,29,0,140,0,2,0,0,-5,0,5,45,"False",0,29
