"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"9971","Taiwo Awoniyi","FWD","Nott'm Forest",1,0,0,9,0,21.8,397,0.06404,0.30634,0.2423,0.9406,177,1,0,6.6,17.4,"2023-01-01T16:30:00Z",87,6,0,0,0,0,18,0,67005,1,1,1,27,2,-3162,1512,4674,57,"True",0,18
"9976","Moussa Djenepo","MID","Southampton",0.5,0,0,0,0,0,418,0,0,0,0,173,0,0,0,0,"2022-12-31T15:00:00Z",0,9,0,0,0,0,18,0,7216,0,1,2,0,0,-77,67,144,50,"False",0,18
"9977","Morgan Gibbs-White","MID","Nott'm Forest",0,0,0,9,0,35.1,493,0.21842,0.41342,0.195,0.9406,177,1,0,9.3,11.8,"2023-01-01T16:30:00Z",90,6,0,0,0,0,18,0,29585,1,1,1,46,2,-4005,132,4137,55,"True",0,18
"9978","Mads Bidstrup","MID","Brentford",0,0,0,0,0,0,99,0,0,0,0,179,0,0,0,0,"2022-12-30T19:45:00Z",0,19,0,0,0,0,18,0,101,0,2,0,0,0,-2,0,2,45,"False",0,18
"9979","Loïc Badé","DEF","Nott'm Forest",-1,0,0,0,0,0,621,0,0,0,0,177,0,0,0,0,"2023-01-01T16:30:00Z",0,6,0,0,0,0,18,0,2793,0,1,1,0,0,12,109,97,45,"True",0,18
"9980","Ryan Christie","MID","Bournemouth",1,0,0,3,0,0.3,69,0.00208,0.00208,0,0.619,171,0,0,0.4,0,"2022-12-31T15:00:00Z",10,7,0,0,0,0,18,0,5584,0,2,0,4,1,-12,141,153,53,"True",0,18
"9987","Bobby Clark","MID","Liverpool",1,0,0,0,0,0,584,0,0,0,0,174,0,0,0,0,"2022-12-30T20:00:00Z",0,10,0,0,0,0,18,0,1303,0,1,2,0,0,5,45,40,45,"True",0,18
"9988","Raphaël Varane","DEF","Man Utd",6,0,0,28,1,1.4,329,0.10105,0.10105,0,0.6749,180,0,0,3.7,33.4,"2022-12-31T12:30:00Z",90,20,0,0,0,0,18,0,254974,1,1,0,2,6,22981,26311,3330,48,"False",0,18
"9993","Dominic Solanke","FWD","Bournemouth",1.5,0,0,-4,0,11.5,66,0.01034,0.19674,0.1864,1.4943,171,2,0,6.1,8.8,"2022-12-31T15:00:00Z",90,7,0,0,0,0,18,0,575014,1,2,0,41,1,-38575,32526,71101,58,"True",1,18
"9994","Vitaly Janelt","MID","Brentford",4.5,0,0,8,0,5.3,86,0.02932,0.02932,0,0.428,179,0,0,1.6,6.6,"2022-12-30T19:45:00Z",31,19,0,0,0,0,18,0,15473,0,2,0,4,1,1945,2589,644,55,"False",0,18
"9998","Eric Bailly","DEF","Man Utd",0,0,0,0,0,0,339,0,0,0,0,180,0,0,0,0,"2022-12-31T12:30:00Z",0,20,0,0,0,0,18,0,42194,0,1,0,0,0,-646,0,646,40,"False",0,18
"10008","David Raya Martin","GK","Brentford",6,0,2,32,1,0,81,0.00097,0.00097,0,1.2417,179,0,0,3.8,37.6,"2022-12-30T19:45:00Z",90,19,0,0,0,0,18,5,729165,1,2,0,0,9,-2327,17042,19369,46,"False",0,18
"10010","Aaron Hickey","DEF","Brentford",0,0,0,0,0,0,510,0,0,0,0,179,0,0,0,0,"2022-12-30T19:45:00Z",0,19,0,0,0,0,18,0,24197,0,2,0,0,0,-501,38,539,49,"False",0,18
