"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"4","Aaron Ramsdale","GK","Sheffield Utd",2.5,0,0,12,0,0,483,8,2,0,1.8,18.2,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,2,462939,2,0,0,1,0,0,0,50,"True",0,1
"12","Adrián San Miguel del Castillo","GK","Liverpool",3.3,0,0,0,0,0,245,3,0,0,0,0,"2020-09-12T16:30:00Z",0,10,0,0,0,0,1,0,18419,3,4,0,0,0,0,0,45,"True",0,1
"14","Ainsley Maitland-Niles","DEF","Arsenal",3.1,0,0,21,1,2.8,15,2,0,0,1.7,10.2,"2020-09-12T11:30:00Z",90,8,0,0,0,0,1,0,112927,3,0,4,6,0,0,0,50,"False",0,1
"17","Alexandre Lacazette","FWD","Arsenal",4,0,1,29,1,12.7,6,2,0,1,9.9,38.6,"2020-09-12T11:30:00Z",86,8,0,0,0,0,1,0,196064,3,0,48,7,0,0,0,85,"False",0,1
"20","Alex McCarthy","GK","Southampton",1.8,0,0,17,0,0,363,1,1,0,2.3,22.6,"2020-09-12T14:00:00Z",90,6,0,0,0,0,1,2,1400435,0,1,0,2,0,0,0,45,"False",0,1
"21","Alex Oxlade-Chamberlain","MID","Liverpool",1.9,0,0,0,0,0,248,3,0,0,0,0,"2020-09-12T16:30:00Z",0,10,0,0,0,0,1,0,3207,3,4,0,0,0,0,0,65,"True",0,1
"24","Alisson Ramses Becker","GK","Liverpool",5.5,0,0,9,0,0,252,3,3,0,0.4,3.8,"2020-09-12T16:30:00Z",90,10,0,0,0,0,1,0,721549,3,4,0,1,0,0,0,60,"True",0,1
"29","Andrew Robertson","DEF","Liverpool",5.1,1,0,20,0,19.6,255,3,3,0,4.7,23.4,"2020-09-12T16:30:00Z",90,10,0,0,0,0,1,0,766431,3,4,4,4,0,0,0,70,"True",0,1
"36","Angus Gunn","GK","Southampton",1.8,0,0,0,0,0,371,1,0,0,0,0,"2020-09-12T14:00:00Z",0,6,0,0,0,0,1,0,19987,0,1,0,0,0,0,0,45,"False",0,1
"48","Ben Osborn","MID","Sheffield Utd",1.4,0,0,0,0,0,356,8,0,0,0,0,"2020-09-14T17:00:00Z",0,20,0,0,0,0,1,0,2316,2,0,0,0,0,0,0,50,"True",0,1
"52","Bernd Leno","GK","Arsenal",3.5,0,1,29,1,0,8,2,0,0,1.4,14,"2020-09-12T11:30:00Z",90,8,0,0,0,0,1,2,400285,3,0,0,7,0,0,0,50,"False",0,1
"54","Billy Sharp","FWD","Sheffield Utd",1.8,0,0,-4,0,3,343,8,2,0,2.7,1.4,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,17568,2,0,23,2,0,0,0,60,"True",0,1
"58","Bukayo Saka","MID","Arsenal",2.8,0,0,0,0,0,24,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,491508,3,0,0,0,0,0,0,55,"False",0,1
"62","Calum Chambers","DEF","Arsenal",0,0,0,0,0,0,13,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,1043,3,0,0,0,0,0,0,45,"False",0,1
"68","Che Adams","FWD","Southampton",1.8,0,0,3,0,13.1,377,1,1,0,3.9,4.4,"2020-09-12T14:00:00Z",84,6,0,0,0,0,1,0,279992,0,1,21,2,0,0,0,60,"False",0,1
"74","Chris Basham","DEF","Sheffield Utd",2.1,0,0,14,0,1.5,345,8,2,0,1.5,11.4,"2020-09-14T17:00:00Z",70,20,0,0,0,0,1,0,135308,2,0,2,1,0,0,0,50,"True",0,1
"79","Curtis Jones","MID","Liverpool",2.5,0,0,2,0,13.3,263,3,1,0,1.8,2.4,"2020-09-12T16:30:00Z",24,10,0,0,0,0,1,0,32021,3,4,2,1,0,0,0,45,"True",0,1
"81","Cédric Soares","DEF","Arsenal",3.1,0,0,0,0,0,5,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,35774,3,0,0,0,0,0,0,50,"False",0,1
"86","Daniel Ceballos Fernández","MID","Arsenal",2.4,0,0,6,0,1.3,501,2,0,0,1.1,5.2,"2020-09-12T11:30:00Z",12,8,0,0,0,0,1,0,115657,3,0,4,1,0,0,0,50,"False",0,1
"87","Danny Ings","FWD","Southampton",3,0,0,1,0,11.2,366,1,1,0,8,8.6,"2020-09-12T14:00:00Z",90,6,0,0,0,0,1,0,1467030,0,1,60,2,0,0,0,85,"False",0,1
"95","David Luiz Moreira Marinho","DEF","Arsenal",0,0,0,0,0,0,3,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,69564,3,0,0,0,0,0,0,55,"False",0,1
"97","David McGoldrick","FWD","Sheffield Utd",1.5,0,0,2,0,2.7,344,8,0,0,1.2,0.8,"2020-09-14T17:00:00Z",19,20,0,0,0,0,1,0,64923,2,0,8,1,0,0,0,55,"True",0,1
"106","Divock Origi","FWD","Liverpool",3,0,0,0,0,0,256,3,0,0,0,0,"2020-09-12T16:30:00Z",0,10,0,0,0,0,1,0,71975,3,4,0,0,0,0,0,55,"True",0,1
"110","Edward Nketiah","FWD","Arsenal",2.8,0,0,3,0,0,22,2,0,0,0,0,"2020-09-12T11:30:00Z",3,8,0,0,0,0,1,0,112190,3,0,0,1,0,0,0,60,"False",0,1
"112","Emile Smith Rowe","MID","Arsenal",0,0,0,0,0,0,23,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,17820,3,0,0,0,0,0,0,45,"False",0,1
"113","Emiliano Martínez","GK","Arsenal",2.8,0,0,0,0,0,12,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,292339,3,0,0,0,0,0,0,45,"False",0,1
"115","Enda Stevens","DEF","Sheffield Utd",2.5,0,0,13,0,6.9,347,8,2,0,2.6,13.2,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,340758,2,0,6,1,0,0,0,55,"True",0,1
"118","Ethan Ampadu","DEF","Sheffield Utd",1.6,0,0,0,0,0,509,8,0,0,0,0,"2020-09-14T17:00:00Z",0,20,0,0,0,0,1,0,51564,2,0,0,0,0,0,0,45,"True",0,1
"122","Fabio Henrique Tavares","MID","Liverpool",3.3,1,0,13,0,1,253,3,1,0,0.7,4.2,"2020-09-12T16:30:00Z",32,10,0,0,0,0,1,0,76886,3,4,2,4,0,0,0,55,"True",0,1
"134","Fraser Forster","GK","Southampton",1,0,0,0,0,0,523,1,0,0,0,0,"2020-09-12T14:00:00Z",0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40,"False",0,1
"135","Gabriel Teodoro Martinelli Silva","MID","Arsenal",0,0,0,0,0,0,26,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,2608,3,0,0,0,0,0,0,50,"False",0,1
"136","Gabriel Magalhães","DEF","Arsenal",3.1,0,3,37,1,0.3,494,2,0,1,8.5,51.8,"2020-09-12T11:30:00Z",90,8,0,0,0,0,1,0,85593,3,0,33,15,0,0,0,50,"False",0,1
"139","George Baldock","DEF","Sheffield Utd",2.5,0,0,13,0,15.7,351,8,2,0,4.3,1.6,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,304826,2,0,26,1,0,0,0,55,"True",0,1
"140","Georginio Wijnaldum","MID","Liverpool",3.3,0,0,9,0,23,243,3,3,0,7.4,15.8,"2020-09-12T16:30:00Z",90,10,0,0,0,0,1,0,120632,3,4,35,2,0,0,0,55,"True",0,1
"144","Granit Xhaka","MID","Arsenal",2.8,0,0,11,1,17.2,9,2,0,0,4.5,6.8,"2020-09-12T11:30:00Z",77,8,0,0,0,0,1,0,42909,3,0,21,3,0,0,0,55,"False",0,1
"151","Harry Wilson","MID","Liverpool",3.3,0,0,0,0,0,257,3,0,0,0,0,"2020-09-12T16:30:00Z",0,10,0,0,0,0,1,0,6549,3,4,0,0,0,0,0,55,"True",0,1
"154","Harvey Elliott","MID","Liverpool",2.5,0,0,0,0,0,265,3,0,0,0,0,"2020-09-12T16:30:00Z",0,10,0,0,0,0,1,0,10271,3,4,0,0,0,0,0,45,"True",0,1
"157","Héctor Bellerín","DEF","Arsenal",3.1,0,0,23,1,26.4,11,2,0,0,4,9.8,"2020-09-12T11:30:00Z",90,8,0,0,0,0,1,0,240975,3,0,4,5,0,0,0,50,"False",1,1
"165","Jack O'Connell","DEF","Sheffield Utd",2.1,0,0,8,0,2.3,354,8,2,0,2.2,19.2,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,46550,2,0,0,1,0,0,0,50,"True",0,1
"166","Jack Robinson","DEF","Sheffield Utd",1.6,0,0,0,0,0,352,8,0,0,0,0,"2020-09-14T17:00:00Z",0,20,0,0,0,0,1,0,11802,2,0,0,0,0,0,0,45,"True",0,1
"167","Jack Stephens","DEF","Southampton",2.1,0,0,12,0,1.1,367,1,1,0,3.7,18.4,"2020-09-12T14:00:00Z",90,6,0,0,0,0,1,0,30741,0,1,17,2,0,0,0,50,"False",0,1
"172","Jake Vokins","DEF","Southampton",1,0,0,0,0,0,380,1,0,0,0,0,"2020-09-12T14:00:00Z",0,6,0,0,0,0,1,0,84869,0,1,0,0,0,0,0,40,"False",0,1
"179","James Milner","MID","Liverpool",3.3,0,0,0,0,0,241,3,0,0,0,0,"2020-09-12T16:30:00Z",0,10,0,0,0,0,1,0,12449,3,4,0,0,0,0,0,55,"True",0,1
"182","James Ward-Prowse","MID","Southampton",2.1,0,0,15,0,17.4,370,1,1,0,2.8,6.6,"2020-09-12T14:00:00Z",90,6,0,0,0,0,1,0,280881,0,1,4,2,0,0,0,60,"False",0,1
"185","Jannik Vestergaard","DEF","Southampton",1.6,0,0,19,0,10.4,369,1,0,0,3.2,17.6,"2020-09-12T14:00:00Z",45,6,0,0,0,0,1,0,36388,0,1,4,1,0,0,0,45,"False",0,1
"186","Jan Bednarek","DEF","Southampton",1.6,0,0,11,0,1.3,376,1,1,0,1,8.8,"2020-09-12T14:00:00Z",45,6,0,0,0,0,1,0,196908,0,1,0,1,0,0,0,45,"False",0,1
"193","Jayden Bogle","DEF","Sheffield Utd",1.6,0,0,0,0,0,510,8,0,0,0,0,"2020-09-14T17:00:00Z",0,20,0,0,0,0,1,0,7325,2,0,0,0,0,0,0,45,"True",0,1
"199","Joel Matip","DEF","Liverpool",4,0,0,2,0,0,246,3,0,0,0,0,"2020-09-12T16:30:00Z",1,10,0,0,0,0,1,0,30541,3,4,0,1,0,0,0,55,"True",0,1
"203","John Egan","DEF","Sheffield Utd",2.1,0,0,4,0,0.8,353,8,2,0,1.6,8.8,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,1006715,2,0,6,0,0,0,0,50,"True",1,1
"204","John Fleck","MID","Sheffield Utd",2.1,0,0,10,0,36,346,8,2,0,6,10.2,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,33140,2,0,14,2,0,0,0,60,"True",0,1
"205","John Lundstram","MID","Sheffield Utd",1.8,0,0,15,0,32.3,355,8,2,0,4.4,10,"2020-09-14T17:00:00Z",90,20,0,0,0,0,1,0,781245,2,0,2,2,0,0,0,55,"True",0,1
"214","Jordan Henderson","MID","Liverpool",2.5,0,0,19,0,2,244,3,2,0,2.3,14,"2020-09-12T16:30:00Z",65,10,0,0,0,0,1,0,180668,3,4,7,2,0,0,0,55,"True",0,1
"219","Joseph Gomez","DEF","Liverpool",4,0,0,13,0,1,260,3,3,0,2,19.2,"2020-09-12T16:30:00Z",90,10,0,0,0,0,1,0,292725,3,4,0,1,0,0,0,55,"True",0,1
"220","Joseph Willock","MID","Arsenal",2.4,0,0,0,0,0,20,2,0,0,0,0,"2020-09-12T11:30:00Z",0,8,0,0,0,0,1,0,7504,3,0,0,0,0,0,0,50,"False",0,1
