"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"5367","Adrián San Miguel del Castillo","GK","Liverpool",1,0,0,0,0,0,223,94,0,0,0,0,"2021-10-30T14:00:00Z",0,4,0,0,0,0,10,0,18659,2,2,0,0,-825,207,1032,44,"True",0,10
"5376","José Diogo Dalot Teixeira","DEF","Man Utd",0.8,0,0,0,0,0,510,98,0,0,0,0,"2021-10-30T16:30:00Z",0,17,0,0,0,0,10,0,6408,3,0,0,0,-93,347,440,44,"False",0,10
"5390","Diogo Jota","MID","Liverpool",4.5,0,0,5,0,10.8,240,94,0,0,1.7,4.2,"2021-10-30T14:00:00Z",12,4,0,0,0,0,10,0,1059795,2,2,2,1,25072,111366,86294,75,"True",0,10
"5392","Luke Shaw","DEF","Man Utd",1.8,0,0,22,1,17.1,275,98,0,0,3.7,17.6,"2021-10-30T16:30:00Z",90,17,0,0,0,0,10,0,1807155,3,0,2,5,-224871,13679,238550,53,"False",1,10
"5393","Armando Broja","FWD","Southampton",0,0,0,0,0,0,518,99,0,0,0,0,"2021-10-30T14:00:00Z",0,18,0,0,0,0,10,0,103445,1,0,0,0,5171,30099,24928,50,"False",0,10
"5399","Juan Mata","MID","Man Utd",0.5,0,0,0,0,0,459,98,0,0,0,0,"2021-10-30T16:30:00Z",0,17,0,0,0,0,10,0,4909,3,0,0,0,-159,159,318,48,"False",0,10
"5402","Harvey Elliott","MID","Liverpool",0,0,0,0,0,0,506,94,0,0,0,0,"2021-10-30T14:00:00Z",0,4,0,0,0,0,10,0,6973,2,2,0,0,-479,41,520,53,"True",0,10
"5417","Ainsley Maitland-Niles","MID","Arsenal",0.8,0,0,0,0,0,13,93,0,0,0,0,"2021-10-30T11:30:00Z",0,9,0,0,0,0,10,0,4849,2,0,0,0,-163,200,363,53,"False",0,10
"5418","Jesse Lingard","MID","Man Utd",1.2,0,0,2,0,0.1,276,98,0,0,0,0.2,"2021-10-30T16:30:00Z",8,17,0,0,0,0,10,0,96122,3,0,0,1,-6702,1252,7954,69,"False",0,10
"5423","Tariqe Fosu-Henry","MID","Brentford",0.5,0,0,0,0,0,79,92,0,0,0,0,"2021-10-30T14:00:00Z",0,5,0,0,0,0,10,0,3376,1,3,0,0,-70,163,233,52,"False",0,10
"5424","Thomas Partey","MID","Arsenal",4.8,0,0,14,1,1.9,15,93,0,0,2.2,10.8,"2021-10-30T11:30:00Z",90,9,0,0,0,0,10,0,30877,2,0,9,3,9559,12954,3395,50,"False",0,10
"5425","Karl Hein","GK","Arsenal",0.5,0,0,0,0,0,532,93,0,0,0,0,"2021-10-30T11:30:00Z",0,9,0,0,0,0,10,0,49164,2,0,0,0,1072,2747,1675,40,"False",0,10
"5431","Héctor Bellerín","DEF","Arsenal",0,0,0,0,0,0,9,93,0,0,0,0,"2021-10-30T11:30:00Z",0,9,0,0,0,0,10,0,20522,2,0,0,0,-686,0,686,48,"False",0,10
"5433","Lucas Torreira","MID","Arsenal",0,0,0,0,0,0,18,93,0,0,0,0,"2021-10-30T11:30:00Z",0,9,0,0,0,0,10,0,13561,2,0,0,0,-599,0,599,45,"False",0,10
"5437","Paul Pogba","MID","Man Utd",0,0,0,0,0,0,272,98,0,0,0,0,"2021-10-30T16:30:00Z",0,17,0,0,0,0,10,0,889464,3,0,0,0,-512962,4354,517316,75,"False",0,10
"5440","Christian Nørgaard","MID","Brentford",3.3,1,0,22,0,15.1,77,92,3,0,5.9,33.4,"2021-10-30T14:00:00Z",90,5,0,0,0,0,10,0,79662,1,3,10,5,-955,6435,7390,50,"False",0,10
"5443","Nemanja Matic","MID","Man Utd",2.5,1,0,15,0,13.3,271,98,0,0,3.4,20.8,"2021-10-30T16:30:00Z",14,17,0,0,0,0,10,0,28033,3,0,0,4,-1844,1360,3204,45,"False",0,10
"5450","Sadio Mané","MID","Liverpool",6.8,0,0,26,0,24.9,230,94,2,1,11.9,45,"2021-10-30T14:00:00Z",90,4,0,0,0,0,10,0,311990,2,2,49,7,21481,57793,36312,119,"True",0,10
"5451","Edward Nketiah","FWD","Arsenal",0.5,0,0,0,0,0,20,93,0,0,0,0,"2021-10-30T11:30:00Z",0,9,0,0,0,0,10,0,10087,2,0,0,0,557,1580,1023,54,"False",0,10
