"","position","cost","team","total_points","full_name"
"149","MID",45,"Brentford",0,"Yegor Yarmolyuk"
"150","MID",49,"Brentford",7,"Kevin Schade"
"419","MID",44,"Liverpool",30,"James Milner"
"420","MID",53,"Liverpool",39,"Jordan Henderson"
"421","DEF",59,"Liverpool",21,"Joel Matip"
"422","MID",51,"Liverpool",26,"Thiago Thiago"
"423","MID",49,"Liverpool",19,"Alex Chamberlain"
"424","FWD",80,"Liverpool",81,"Roberto Firmino"
"425","DEF",65,"Liverpool",94,"Virgil Van Dijk"
"426","GK",54,"Liverpool",117,"Alisson Alisson"
"427","MID",52,"Liverpool",41,"Fabio Henrique Fabinho"
"428","MID",127,"Liverpool",154,"Mohamed Salah"
"429","DEF",68,"Liverpool",89,"Andrew Robertson"
"430","DEF",73,"Liverpool",94,"Trent Alexander-Arnold"
"431","DEF",43,"Liverpool",62,"Joseph Gomez"
"432","MID",47,"Liverpool",10,"Naby Keita"
"433","FWD",88,"Liverpool",18,"Diogo Diogo Jota"
"434","GK",40,"Liverpool",0,"Caoimhin Kelleher"
"435","DEF",48,"Liverpool",21,"Ibrahima Konaté"
"436","MID",49,"Liverpool",7,"Curtis Jones"
"437","DEF",44,"Liverpool",35,"Konstantinos Tsimikas"
"438","MID",78,"Liverpool",39,"Luis Luis Díaz"
"439","MID",49,"Liverpool",54,"Harvey Elliott"
"440","MID",51,"Liverpool",25,"Fábio Carvalho"
"441","FWD",88,"Liverpool",79,"Darwin Darwin"
"442","DEF",39,"Liverpool",0,"Calvin Ramsay"
"443","GK",39,"Liverpool",0,"Adrián Adrián"
"444","DEF",40,"Liverpool",0,"Rhys R.Williams"
"445","DEF",40,"Liverpool",0,"Ben Davies"
"446","DEF",40,"Liverpool",0,"Sepp Van den Berg"
"447","DEF",39,"Liverpool",3,"Nathaniel Phillips"
"448","DEF",40,"Liverpool",0,"Luke Chambers"
"449","MID",44,"Liverpool",20,"Stefan Bajcetic"
"450","MID",45,"Liverpool",1,"Bobby Clark"
"451","GK",40,"Liverpool",0,"Harvey H.Davies"
"452","MID",48,"Liverpool",0,"Arthur Henrique Arthur"
"453","MID",45,"Liverpool",2,"Ben Doak"
"454","MID",77,"Liverpool",39,"Cody Gakpo"
"486","GK",44,"Manchester United",0,"Jack Butland"
"487","FWD",102,"Manchester United",20,"Cristiano Ronaldo Ronaldo"
"488","GK",50,"Manchester United",96,"David De Gea"
"489","DEF",39,"Manchester United",0,"Phil Jones"
"490","DEF",48,"Manchester United",48,"Raphaël Varane"
"491","DEF",47,"Manchester United",23,"Harry Maguire"
"492","MID",51,"Manchester United",44,"Frederico Fred"
"493","DEF",52,"Manchester United",89,"Luke Shaw"
"494","MID",98,"Manchester United",116,"Bruno Fernandes"
"495","DEF",50,"Manchester United",0,"Alex Telles"
"496","MID",73,"Manchester United",153,"Marcus Rashford"
"497","MID",51,"Manchester United",8,"Donny Van de Beek"
"498","DEF",41,"Manchester United",21,"Victor Lindelöf"
"499","MID",49,"Manchester United",19,"Scott McTominay"
"500","DEF",40,"Manchester United",0,"Eric Bailly"
"501","MID",71,"Manchester United",55,"Jadon Sancho"
"502","DEF",43,"Manchester United",31,"Aaron Wan-Bissaka"
"503","DEF",47,"Manchester United",67,"Diogo Dalot"
"504","DEF",38,"Manchester United",0,"Brandon B.Williams"
"505","MID",47,"Manchester United",23,"Anthony Elanga"
"506","FWD",63,"Manchester United",32,"Anthony Martial"
"507","MID",43,"Manchester United",1,"Facundo Pellistri"
"508","GK",39,"Manchester United",0,"Tom Heaton"
"509","DEF",42,"Manchester United",43,"Tyrell Malacia"
"510","MID",62,"Manchester United",74,"Christian Eriksen"
"511","DEF",45,"Manchester United",58,"Lisandro Martínez"
"512","MID",44,"Manchester United",0,"Amad Amad"
"513","MID",42,"Manchester United",0,"Zidane Iqbal"
"514","MID",42,"Manchester United",29,"Alejandro Garnacho"
"515","MID",49,"Manchester United",58,"Carlos Henrique Casemiro"
"516","MID",73,"Manchester United",41,"Antony Matheus Antony"
"517","GK",40,"Manchester United",0,"Matej Kovár"
"518","MID",45,"Manchester United",1,"Kobbie Mainoo"
"519","GK",40,"Manchester United",0,"Nathan Bishop"
"520","FWD",45,"Manchester United",0,"Shola Shoretire"
"521","DEF",40,"Manchester United",0,"Rhys Bennett"
"522","FWD",58,"Manchester United",14,"Wout Weghorst"
"523","MID",48,"Manchester United",9,"Marcel Sabitzer"
"558","DEF",39,"Nottingham Forest",41,"Neco N.Williams"
"559","MID",48,"Nottingham Forest",11,"Jonjo Shelvey"
"560","FWD",56,"Nottingham Forest",52,"Chris Wood"
"561","MID",41,"Nottingham Forest",0,"Harry Arter"
"562","DEF",43,"Nottingham Forest",20,"Steve Cook"
"563","FWD",41,"Nottingham Forest",0,"Lyle Lyle Taylor"
"564","MID",41,"Nottingham Forest",14,"Jack Colback"
"565","GK",45,"Nottingham Forest",0,"Brice Samba"
"566","MID",42,"Nottingham Forest",1,"Carlos Cafú"
"567","MID",49,"Nottingham Forest",0,"Joe Lolley"
"568","DEF",44,"Nottingham Forest",38,"Scott McKenna"
"569","DEF",40,"Nottingham Forest",0,"Mohamed Dräger"
"570","MID",50,"Nottingham Forest",42,"Ryan Yates"
"571","DEF",42,"Nottingham Forest",37,"Joe Worrall"
"572","DEF",40,"Nottingham Forest",0,"Jonathan Panzo"
"573","MID",50,"Nottingham Forest",0,"Xande Xande Silva"
"574","FWD",47,"Nottingham Forest",21,"Sam Surridge"
"575","DEF",45,"Nottingham Forest",0,"Richie Laryea"
"576","DEF",42,"Nottingham Forest",0,"Loïc Mbe Soh"
"577","FWD",57,"Nottingham Forest",91,"Brennan Johnson"
"578","MID",49,"Nottingham Forest",1,"Alex Mighten"
"579","MID",45,"Nottingham Forest",0,"Braian Ojeda"
"580","FWD",56,"Nottingham Forest",50,"Taiwo Awoniyi"
"581","GK",46,"Nottingham Forest",82,"Dean Henderson"
"582","DEF",42,"Nottingham Forest",2,"Giulian Biancone"
"583","DEF",42,"Nottingham Forest",33,"Willy Boly"
"584","MID",55,"Nottingham Forest",88,"Morgan Gibbs-White"
"585","DEF",43,"Nottingham Forest",7,"Moussa Niakhaté"
"586","DEF",44,"Nottingham Forest",0,"Omar Richards"
"587","GK",39,"Nottingham Forest",4,"Wayne Hennessey"
"588","DEF",43,"Nottingham Forest",20,"Harry Toffolo"
"589","MID",48,"Nottingham Forest",22,"Lewis O'Brien"
"590","MID",54,"Nottingham Forest",31,"Jesse Lingard"
"591","MID",49,"Nottingham Forest",22,"Orel Mangala"
"592","MID",43,"Nottingham Forest",0,"Oliver Hammond"
"593","MID",49,"Nottingham Forest",43,"Remo Freuler"
"594","MID",44,"Nottingham Forest",27,"Cheikhou Kouyaté"
"595","FWD",56,"Nottingham Forest",22,"Emmanuel Dennis"
"596","DEF",43,"Nottingham Forest",37,"Renan Augusto Renan Lodi"
"597","DEF",45,"Nottingham Forest",0,"Loïc Badé"
"598","DEF",44,"Nottingham Forest",55,"Serge Aurier"
"599","FWD",45,"Nottingham Forest",0,"Dale Dale Taylor"
"600","GK",40,"Nottingham Forest",0,"Jordan Smith"
"601","MID",48,"Nottingham Forest",3,"Gustavo Henrique Scarpa"
"602","MID",45,"Nottingham Forest",2,"Danilo Danilo"
"603","GK",45,"Nottingham Forest",15,"Keylor Navas"
"604","DEF",45,"Nottingham Forest",3,"Felipe Augusto Felipe"
"605","MID",50,"Nottingham Forest",5,"André A.Ayew"
"606","MID",48,"Southampton",23,"Ainsley Maitland-Niles"
"607","MID",45,"Southampton",31,"Roméo Lavia"
