"position","cost","team","total_points","full_name"
"FWD",45,"Fulham",7,"Jay Stansfield"
"MID",49,"Fulham",66,"João Palhinha"
"MID",60,"Fulham",25,"Daniel James"
"MID",44,"Fulham",98,"Andreas Andreas"
"DEF",43,"Fulham",62,"Issa Diop"
"MID",44,"Fulham",1,"Tyrese Francois"
"DEF",43,"Fulham",7,"Kevin Mbabu"
"MID",44,"Fulham",3,"Luke Harris"
"MID",49,"Fulham",30,"Manor Solomon"
"FWD",45,"Fulham",0,"Terry Ablade"
"DEF",43,"Fulham",2,"Layvin Kurzawa"
"MID",55,"Fulham",73,"Willian Willian"
"FWD",54,"Fulham",37,"Carlos Vinícius Vinícius"
"DEF",40,"Fulham",0,"Stefan Parkes"
"MID",45,"Fulham",0,"Martial Godo"
"MID",45,"Fulham",0,"Kristian Sekularac"
"MID",45,"Fulham",3,"Sasa Lukic"
"GK",40,"Fulham",0,"George Wickens"
"GK",50,"Leeds",0,"Kasper Schmeichel"
"DEF",44,"Leeds",11,"Jonny Evans"
"DEF",39,"Leeds",0,"Ryan Bertrand"
"MID",47,"Leeds",13,"Marc Albrighton"
"MID",43,"Leeds",22,"Nampalys Mendy"
"DEF",39,"Leeds",0,"Jannik Vestergaard"
"GK",40,"Leeds",89,"Danny Ward"
"FWD",91,"Leeds",54,"Jamie Vardy"
"DEF",43,"Leeds",4,"Ricardo Ricardo"
"DEF",40,"Leeds",46,"Daniel Amartey"
"DEF",44,"Leeds",80,"Timothy Castagne"
"MID",61,"Leeds",67,"Youri Tielemans"
"MID",47,"Leeds",19,"Ayoze Pérez"
"MID",81,"Leeds",99,"James Maddison"
"FWD",62,"Leeds",55,"Kelechi Iheanacho"
"MID",45,"Leeds",0,"Hamza Choudhury"
"MID",67,"Leeds",94,"Harvey Barnes"
"MID",48,"Leeds",23,"Wilfred Ndidi"
"MID",49,"Leeds",71,"Kiernan Dewsbury-Hall"
"DEF",42,"Leeds",2,"Çaglar Söyüncü"
"DEF",42,"Leeds",45,"James Justin"
"MID",44,"Leeds",27,"Boubakary Soumaré"
"DEF",40,"Leeds",17,"Luke Thomas"
"FWD",56,"Leeds",46,"Patson Daka"
"DEF",39,"Leeds",1,"Lewis Brunt"
"GK",38,"Leeds",0,"Daniel Iversen"
"MID",48,"Leeds",27,"Dennis Praet"
"GK",39,"Leeds",0,"Alex Smithies"
"DEF",42,"Leeds",46,"Wout Faes"
"MID",45,"Leeds",0,"Sammy Braybrooke"
"DEF",40,"Leeds",0,"Joe Wormleighton"
"MID",45,"Leeds",0,"Kasey McAteer"
"DEF",45,"Leeds",6,"Victor Kristiansen"
"MID",55,"Leeds",16,"Mateus Tetê"
"DEF",45,"Leeds",8,"Harry Souttar"
"MID",45,"Leeds",0,"Wanya Marçal-Madivadua"
"DEF",44,"Leicester",30,"Liam Cooper"
"DEF",45,"Leicester",38,"Luke Ayling"
"MID",46,"Leicester",12,"Mateusz Klich"
"MID",44,"Leicester",6,"Adam Forshaw"
"MID",63,"Leicester",92,"Rodrigo Rodrigo"
"DEF",49,"Leicester",0,"Stuart Dallas"
"FWD",72,"Leicester",35,"Patrick Bamford"
"DEF",44,"Leicester",16,"Diego Llorente"
"MID",50,"Leicester",0,"Tyler Roberts"
"DEF",45,"Leicester",48,"Robin Koch"
"MID",70,"Leicester",0,"Raphael Raphinha"
"MID",58,"Leicester",74,"Jack Harrison"
"MID",45,"Leicester",0,"Jamie Shackleton"
"DEF",45,"Leicester",62,"Pascal Struijk"
"GK",39,"Leicester",0,"Kristoffer Klaesson"
"FWD",41,"Leicester",27,"Sam Greenwood"
"GK",45,"Leicester",80,"Illan Meslier"
"DEF",45,"Leicester",23,"Junior Firpo"
"MID",42,"Leicester",59,"Crysencio Summerville"
"MID",45,"Leicester",0,"Lewis Bate"
"FWD",51,"Leicester",20,"Joe Gelhardt"
"DEF",39,"Leicester",0,"Leo Fuhr Hjelde"
"DEF",47,"Leicester",28,"Rasmus Kristensen"
"MID",48,"Leicester",42,"Marc Roca"
"MID",53,"Leicester",62,"Brenden Aaronson"
"MID",42,"Leicester",1,"Darko Gyabi"
"MID",49,"Leicester",45,"Tyler Adams"
"MID",65,"Leicester",25,"Luis Sinisterra"
"DEF",40,"Leicester",1,"Cody Drameh"
"MID",45,"Leicester",0,"Archie Gray"
"GK",40,"Leicester",0,"Joel Robles"
"FWD",50,"Leicester",37,"Wilfried Gnonto"
"FWD",45,"Leicester",3,"Mateo Joseph Mateo Joseph"
"FWD",45,"Leicester",0,"Sonny Perkins"
"DEF",45,"Leicester",21,"Maximilian Wöber"
"FWD",53,"Leicester",7,"Georginio Rutter"
"MID",48,"Leicester",9,"Weston McKennie"
"DEF",40,"Leicester",0,"Jeremiah Chilokoa-Mullen"
"DEF",40,"Leicester",0,"Diogo Monteiro"
"MID",44,"Liverpool",30,"James Milner"
"MID",53,"Liverpool",39,"Jordan Henderson"
"DEF",59,"Liverpool",21,"Joel Matip"
"MID",51,"Liverpool",26,"Thiago Thiago"
"MID",49,"Liverpool",19,"Alex Chamberlain"
"FWD",80,"Liverpool",81,"Roberto Firmino"
"DEF",65,"Liverpool",94,"Virgil Van Dijk"
"GK",54,"Liverpool",117,"Alisson Alisson"
"MID",52,"Liverpool",41,"Fabio Henrique Fabinho"
"MID",127,"Liverpool",154,"Mohamed Salah"
"DEF",68,"Liverpool",89,"Andrew Robertson"
"DEF",73,"Liverpool",94,"Trent Alexander-Arnold"
"DEF",43,"Liverpool",62,"Joseph Gomez"
"MID",47,"Liverpool",10,"Naby Keita"
"FWD",88,"Liverpool",18,"Diogo Diogo Jota"
"GK",40,"Liverpool",0,"Caoimhin Kelleher"
"DEF",48,"Liverpool",21,"Ibrahima Konaté"
"MID",49,"Liverpool",7,"Curtis Jones"
"DEF",44,"Liverpool",35,"Konstantinos Tsimikas"
"MID",78,"Liverpool",39,"Luis Luis Díaz"
"MID",49,"Liverpool",54,"Harvey Elliott"
"MID",51,"Liverpool",25,"Fábio Carvalho"
"FWD",88,"Liverpool",79,"Darwin Darwin"
"DEF",39,"Liverpool",0,"Calvin Ramsay"
"GK",39,"Liverpool",0,"Adrián Adrián"
"DEF",40,"Liverpool",0,"Rhys R.Williams"
"DEF",40,"Liverpool",0,"Ben Davies"
"DEF",40,"Liverpool",0,"Sepp Van den Berg"
"DEF",39,"Liverpool",3,"Nathaniel Phillips"
"DEF",40,"Liverpool",0,"Luke Chambers"
"MID",44,"Liverpool",20,"Stefan Bajcetic"
"MID",45,"Liverpool",1,"Bobby Clark"
"GK",40,"Liverpool",0,"Harvey H.Davies"
"MID",48,"Liverpool",0,"Arthur Henrique Arthur"
"MID",45,"Liverpool",2,"Ben Doak"
"MID",77,"Liverpool",39,"Cody Gakpo"
"DEF",48,"Manchester City",39,"Kyle Walker"
"MID",73,"Manchester City",78,"Ilkay Gündogan"
"MID",122,"Manchester City",128,"Kevin De Bruyne"
"DEF",54,"Manchester City",54,"John Stones"
"MID",76,"Manchester City",83,"Riyad Mahrez"
"MID",68,"Manchester City",78,"Jack Grealish"
"DEF",71,"Manchester City",73,"João Cancelo"
"GK",54,"Manchester City",92,"Ederson Ederson"
"DEF",51,"Manchester City",58,"Nathan Aké"
"DEF",57,"Manchester City",21,"Aymeric Laporte"
"GK",40,"Manchester City",0,"Zack Steffen"
"MID",68,"Manchester City",91,"Bernardo Bernardo"
"DEF",59,"Manchester City",54,"Rúben Dias"
"MID",80,"Manchester City",108,"Phil Foden"
"MID",56,"Manchester City",85,"Rodrigo Rodri"
"MID",43,"Manchester City",8,"Cole Palmer"
"MID",45,"Manchester City",0,"James McAtee"
"FWD",122,"Manchester City",197,"Erling Haaland"
"FWD",60,"Manchester City",56,"Julián Álvarez"
"DEF",39,"Manchester City",0,"Luke Mbete"
"DEF",38,"Manchester City",0,"Josh Wilson-Esbrand"
"FWD",44,"Manchester City",0,"Liam Delap"
"GK",38,"Manchester City",0,"Stefan Ortega"
"MID",48,"Manchester City",4,"Kalvin Phillips"
"GK",38,"Manchester City",0,"Scott Carson"
"DEF",39,"Manchester City",17,"Rico Lewis"
"DEF",45,"Manchester City",8,"Sergio Sergio Gómez"
"MID",45,"Manchester City",0,"Claudio Gomes"
"MID",45,"Manchester City",0,"Ben Knight"
"DEF",50,"Manchester City",54,"Manuel Akanji"
"MID",44,"Manchester City",1,"Máximo Perrone"
"GK",44,"Manchester United",0,"Jack Butland"
"FWD",102,"Manchester United",20,"Cristiano Ronaldo Ronaldo"
"GK",50,"Manchester United",96,"David De Gea"
"DEF",39,"Manchester United",0,"Phil Jones"
"DEF",48,"Manchester United",48,"Raphaël Varane"
"DEF",47,"Manchester United",23,"Harry Maguire"
"MID",51,"Manchester United",44,"Frederico Fred"
"DEF",52,"Manchester United",89,"Luke Shaw"
"MID",98,"Manchester United",116,"Bruno Fernandes"
"DEF",50,"Manchester United",0,"Alex Telles"
"MID",73,"Manchester United",153,"Marcus Rashford"
"MID",51,"Manchester United",8,"Donny Van de Beek"
"DEF",41,"Manchester United",21,"Victor Lindelöf"
"MID",49,"Manchester United",19,"Scott McTominay"
"DEF",40,"Manchester United",0,"Eric Bailly"
"MID",71,"Manchester United",55,"Jadon Sancho"
"DEF",43,"Manchester United",31,"Aaron Wan-Bissaka"
"DEF",47,"Manchester United",67,"Diogo Dalot"
"DEF",38,"Manchester United",0,"Brandon B.Williams"
"MID",47,"Manchester United",23,"Anthony Elanga"
"FWD",63,"Manchester United",32,"Anthony Martial"
"MID",43,"Manchester United",1,"Facundo Pellistri"
"GK",39,"Manchester United",0,"Tom Heaton"
"DEF",42,"Manchester United",43,"Tyrell Malacia"
"MID",62,"Manchester United",74,"Christian Eriksen"
"DEF",45,"Manchester United",58,"Lisandro Martínez"
"MID",44,"Manchester United",0,"Amad Amad"
"MID",42,"Manchester United",0,"Zidane Iqbal"
"MID",42,"Manchester United",29,"Alejandro Garnacho"
"MID",49,"Manchester United",58,"Carlos Henrique Casemiro"
"MID",73,"Manchester United",41,"Antony Matheus Antony"
"GK",40,"Manchester United",0,"Matej Kovár"
"MID",45,"Manchester United",1,"Kobbie Mainoo"
"GK",40,"Manchester United",0,"Nathan Bishop"
"FWD",45,"Manchester United",0,"Shola Shoretire"
"DEF",40,"Manchester United",0,"Rhys Bennett"
"FWD",58,"Manchester United",14,"Wout Weghorst"
"MID",48,"Manchester United",9,"Marcel Sabitzer"
